iter	Passed	Remaining
402	9558	14160
403	9579	14131
404	9596	14099
405	9612	14063
406	9632	14033
407	9648	14000
408	9666	13967
409	9686	13939
410	9705	13908
411	9723	13877
412	9744	13849
413	9762	13818
414	9780	13787
415	9799	13756
416	9818	13727
417	9836	13695
418	9856	13667
419	9875	13637
420	9900	13615
421	9919	13585
422	9939	13558
423	9960	13531
424	9981	13503
425	10003	134784426	10025	13452
427	10049	13431
428	10070	134042429	10093	13379
430	10115	13354
431	10143	13336
432	10166	13312
433	10191	13290
434	10210	132643435	10236	13241
436	10258	13216
437	10279	131943438	10309	13175
439	10347	13169
440	10378	131544441	10397	131244442	10418	130944443	10452	130844444	10467	130544445	10496	130344446	10520	130144447	10545	129944448	10574	129744449	10602	129545450	10629	12938
451	10651	129145452	10672	128845453	10699	12867
454	10723	12844
455	10742	128145456	10765	12791
457	10787	12766
458	10806	127345459	10836	127246460	10860	12698
461	10882	12672
462	10901	126446463	10929	126246464	10949	125946465	10975	125746466	10994	125446467	11014	125246468	11031	124946469	11049	124647470	11070	124347471	11090	124047472	11110	123747473	11130	123547474	11148	123247475	11168	122947476	11186	122647477	11210	12242
478	11230	122147479	11250	12187
480	11267	121548481	11286	121248482	11301	120948483	11318	120648484	11346	120448485	11366	12021
486	11385	11993
487	11405	11966
488	11428	119448489	11451	119149490	11474	118949491	11493	118649492	11514	118449493	11532	118149494	11553	117849495	11571	117549496	11587	117249497	11607	117049498	11630	116749499	11654	116550500	11679	11632
501	11696	116050502	11717	11577
503	11739	11553
504	11759	11526
505	11778	11498
506	11797	114750507	11821	114450508	11842	114250509	11859	113951510	11880	113651511	11907	11349
512	11929	113251513	11950	112951514	11969	112751515	11995	112551516	12020	11229
517	12042	11205
518	12064	111851519	12082	111552520	12104	11128
521	12123	111052522	12144	11076
523	12164	110452524	12187	110252525	12207	110052526	12231	109752527	12253	109552528	12275	109252529	12305	109153530	12333	108953531	12356	108653532	12378	108453533	12405	108253534	12429	108053535	12457	107853536	12485	107653537	12508	107453538	12529	1071539	12545	10686
540	12568	10663
541	12599	10647
54542	12631	1063543	12649	10603
544	12675	10582
545	12706	10565
546	12727	10540
547	12752	10518
548	12793	10509
549	12818	10487
550	12844	10466
551	12868	10443
552	12887	10417
553	12913	10395
554	12935	10371
555	12954	10345
556	12974	10318
557	12991	10291
